file,class,method,variable,usage
/home/igor/ExtremeProgrammingCookbook/src/test/java/hse/exam/extremeprogrammingcookbook/model/CookbookTest.java,hse.exam.extremeprogrammingcookbook.model.CookbookTest,testCookbookFileOperations/0,recipe1,2
/home/igor/ExtremeProgrammingCookbook/src/test/java/hse/exam/extremeprogrammingcookbook/model/CookbookTest.java,hse.exam.extremeprogrammingcookbook.model.CookbookTest,testCookbookFileOperations/0,expected,0
/home/igor/ExtremeProgrammingCookbook/src/test/java/hse/exam/extremeprogrammingcookbook/model/CookbookTest.java,hse.exam.extremeprogrammingcookbook.model.CookbookTest,testCookbookFileOperations/0,recipe,2
/home/igor/ExtremeProgrammingCookbook/src/test/java/hse/exam/extremeprogrammingcookbook/model/CookbookTest.java,hse.exam.extremeprogrammingcookbook.model.CookbookTest,testCookbookFileOperations/0,fileContent,0
/home/igor/ExtremeProgrammingCookbook/src/test/java/hse/exam/extremeprogrammingcookbook/model/CookbookTest.java,hse.exam.extremeprogrammingcookbook.model.CookbookTest,testCookbookBasics/0,cookbook,7
/home/igor/ExtremeProgrammingCookbook/src/test/java/hse/exam/extremeprogrammingcookbook/model/CookbookTest.java,hse.exam.extremeprogrammingcookbook.model.CookbookTest,testCookbookBasics/0,recipe,3
/home/igor/ExtremeProgrammingCookbook/src/test/java/hse/exam/extremeprogrammingcookbook/model/CookbookTest.java,hse.exam.extremeprogrammingcookbook.model.CookbookTest,testCookbookBasics/0,ingredients,1
/home/igor/ExtremeProgrammingCookbook/src/test/java/hse/exam/extremeprogrammingcookbook/model/CookbookTest.java,hse.exam.extremeprogrammingcookbook.model.CookbookTest,testCookbookBasics/0,foundRecipe,3
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,showRecipeDescription/1[hse.exam.extremeprogrammingcookbook.model.Recipe],recipe,2
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,loadRecipeListInView/0,recipe,2
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,loadRecipeListInView/0,event,0
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,loadRecipeListInView/0,recipeButton,2
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,onClickBtnAddRecipe/0,recipe,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,onClickBtnAddRecipe/0,description,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,onClickBtnAddRecipe/0,title,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,initialize/0,event,1
/home/igor/ExtremeProgrammingCookbook/src/test/java/hse/exam/extremeprogrammingcookbook/model/RecipeTest.java,hse.exam.extremeprogrammingcookbook.model.RecipeTest,testIngredientAddition/0,recipe,5
